model,zero,median,mean,bfill,ffill,knn,mice,DLine,idx
26.70919,4414.5776,67.67741,58.925564,8.951153,11.920428,44.957844,24.180246,333.39316,59
3.8494728,2730.6091,9.628111,12.375125,4.56649,6.6311455,7.6798816,7.992616,163.0591,56
11.42602,1858.1117,69.259636,53.329807,18.920141,37.460556,22.926569,20.679909,118.89483,57
4.544294,1298.2173,10.608905,11.064567,6.330228,20.968977,7.0290494,6.7863655,69.26887,58
11.447469,4152.6807,27.47651,29.98357,21.839628,28.77217,25.100624,23.60991,259.00153,64
5.0534205,2145.7986,14.122745,14.043241,4.714709,5.9281263,8.687758,8.238159,140.90236,61
11.986133,4567.4233,55.795254,49.28582,14.2899275,15.077883,21.038568,17.952906,328.6407,62
52.409542,3961.4326,145.03448,127.55022,31.157312,44.25217,44.556995,58.155525,442.5392,63
12.671638,3420.6226,58.741234,63.0541,5.631155,8.373447,22.545374,12.186757,270.8678,65
54.71947,4283.04,153.594,153.26836,18.505266,21.51599,26.52767,33.386635,308.15436,60
4.1630535,2136.6628,25.1632,27.294643,11.758052,11.341471,17.726297,26.239233,202.47707,66
5.6372857,2317.8481,23.702717,23.090532,6.914659,7.550446,22.745876,11.317738,310.44568,67
19.024458,4602.7744,55.492012,54.73644,31.197966,89.39558,44.51996,25.318855,433.58224,68
19.83567,3043.6882,76.12507,67.81474,31.18508,28.653482,38.972694,69.88439,226.33934,69
3.2871392,1631.6676,17.594707,15.939725,8.05176,12.360876,10.999832,12.665357,120.495964,70
3.1059954,1669.5615,31.971252,30.387047,11.803362,12.146944,27.548737,16.757051,189.05183,74
3.7716033,1699.9772,12.155,11.320203,9.3113365,6.0732584,10.510515,8.327207,85.48665,72
13.648642,4370.907,33.170506,34.095573,16.55904,19.104492,15.835615,15.478548,265.04263,71
78.263885,3835.6177,131.77704,111.99496,38.617054,53.69789,37.0562,41.911884,252.29689,73
16.643906,4851.2173,51.6069,73.34598,27.036222,20.266113,25.754854,27.472635,350.07523,75
16.88831,2930.235,58.367645,88.293045,27.867567,91.33547,62.57891,35.63004,240.51297,76
2.747412,2143.4932,25.770828,23.395426,12.959053,8.867604,21.163706,17.684938,248.41092,77
1.9927596,1699.8256,44.4864,34.90938,4.9309096,10.514859,26.24618,17.148546,153.7433,78
7.2122912,4197.4517,42.655647,34.6767,9.526703,10.191472,24.77697,27.381836,297.8051,79
0.93085355,1257.8027,6.205933,6.4609175,2.6772056,8.406254,5.1644487,5.3321223,109.51996,83
19.532917,4187.005,25.147995,24.754486,27.098154,86.89296,21.520212,68.42919,220.16086,84
8.516691,4200.219,56.520172,47.827927,27.860458,21.970852,24.669182,27.800682,754.8736,81
1.2789719,2877.8596,73.65495,59.15888,16.991213,16.588964,23.208427,25.131786,247.77692,85
21.61592,4987.604,94.697586,90.04796,37.094353,33.28444,72.484764,50.294334,335.75626,82
11.405278,3601.007,44.255505,33.73897,4.407658,4.0464325,23.739376,3.498911,260.6032,80
6.4436316,1615.4048,33.44124,31.169212,9.812791,21.130291,10.257439,14.737131,100.52826,89
17.494225,3741.9167,68.98967,63.333977,13.819629,15.587962,37.96698,25.341003,537.7009,86
22.379986,3480.8906,77.46478,71.20465,19.783327,27.067741,56.95275,31.45295,263.28235,87
14.9226675,2068.283,47.749744,37.173447,13.608913,18.504246,25.665426,14.606172,231.38246,88
5.955536,961.25006,12.874574,11.187853,2.9264731,3.58821,10.865243,10.737553,97.48984,95
