0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
-0.0171005009396161,-0.0130280784667935,-0.0100579912805942,-0.0203743783547378,0.0030576061857675,-0.0105688637585853,-0.0077148716103301,-0.00712343223937,0.0030140637834054,-0.0161020585604192,0.0209461015864877,-0.0196192946687839,-0.0428459821906622,-0.0107069604751125,-0.0263422802072408,-4.886955241118171e-05,-0.0012334965642218,-0.0016083015786867,0.0061633701121613,0.0036848245946428,-0.0077199572915126,0.0002328906127662,0.0279073830888884,0.0063578315051468,-0.0106840695795492,-0.017781551734417,0.0105511780411933,-0.0013810387753953,0.0210589912062037,0.0176727666567567,0.0106529685478119,-0.0006168805517363,-0.0297680039564795,-0.0131666456237001,-0.0177465560790195,-0.0186056955463089,-0.0093793756688504,-0.0111258299383744,-0.0085830591451226,-0.0127057932571913,-0.0122841960110662,-0.0116554853628507,-0.0055991898218997,-0.0243931785030574,-0.0096100735190736,-0.0210750308974684,0.0280380884932492,0.0162603847129711,-0.0237379875944522,-0.017468921100805,0.0002644517466701,-0.0120664364069529,-0.0326396907706945
-0.0278084453815299,-0.016231938214856,-0.0116987243340547,-0.0440273951289114,-0.0186474681076766,-0.0197294747981398,-0.0301729971427731,-0.0085351680716124,-0.0123532514959848,-0.0328513534690956,-0.0231811662686478,-0.0044740429272348,-0.0757886510113356,-0.021885723752331,-0.0565894488854789,-0.0190792193397596,-0.0124598589209762,-0.0035557818168519,0.005211853618364,-0.0070637527307567,0.0170992959840602,-0.0133447962542831,0.0124558776269644,-0.0059266474693825,-0.0175906098657324,-0.0355959466393508,-0.013515427346547,0.0014205892604562,0.0063035461833375,-0.001765477340859,-0.0150659890507484,-0.0157468085678379,-0.0315178810383844,-0.0239943325651525,-0.0599774266267872,-0.0100939504137607,-0.0307088537356751,-0.0284125127772977,-0.021910059870514,0.0001814326640958,-0.0224402583390362,-0.0084941554920191,-0.0225696077649222,-0.038440984368074,-0.0225306595548388,-0.0182262117895573,0.002292293244273,-0.0011766064712018,-0.0027562607926166,-0.0325656533452923,0.0053011382704212,-0.027691355507351,-0.0440700882863591
-0.0317685640471612,-0.009845542740473,-0.0163084779093557,-0.0825095504796566,-0.0364207645742724,-0.0739731210894752,-0.0520089284044858,-0.0286458095631335,-0.0566173246912081,-0.0593833483048241,-0.072755170628359,-0.0222042484271091,-0.0958106240907507,-0.0415281150107686,-0.0916969632182264,-0.0240281739279576,-0.0125846608688803,-0.0205851041586332,-0.0197642063201691,-0.0307980191981577,-0.0078630273066295,-0.0558509092341223,-0.0023209796802847,-0.0668307709983233,-0.0459819043156746,-0.0919448241685331,-0.0694274951374686,-0.0228057631195723,-0.0176404922450478,-0.0258038372292721,-0.06291893514127,-0.0418742279075234,-0.0443184069260883,-0.0328268446137472,-0.1062832042738055,-0.0328226256658108,-0.0430798803730118,-0.0706167727460696,-0.0326744990678067,-0.0432886587824868,-0.0340675431612892,-0.0295801071096092,-0.0289755235189626,-0.0433698165463766,-0.0427138785374473,-0.0394161062108563,-0.0249819101282362,-0.0516898345285377,-0.0299974681908684,-0.0417801236752848,-0.0428713908106965,-0.0498590027523381,-0.0749083165437595
-0.0382991087481015,-0.004808671265121,0.0027098811320216,-0.1622481290857988,-0.063388999440159,-0.1517265102602439,-0.0981877046031302,-0.1211506812702073,-0.1274999535453416,-0.150073193191805,-0.1892154535019359,-0.0526762869531001,-0.149832870357424,-0.058023550065327,-0.2082313935710913,-0.0627822518818409,-0.0493612063018585,-0.0721602917630298,-0.0887450448082446,-0.098953933563927,-0.0148820178852624,-0.1275308619374267,-0.0556011742362075,-0.1395991220579823,-0.1005675271969084,-0.1741006581649164,-0.1525618065224765,-0.0820906675742321,-0.0788382423710734,-0.0546011454195356,-0.1738402748272145,-0.0987861059620703,-0.1097920936716983,-0.0441258367898321,-0.2296640409681902,-0.0865809142664021,-0.1198912830791465,-0.1435575312909846,-0.0917167875771571,-0.1427034172916773,-0.0718068840442062,-0.0593861821355019,-0.0611852011803957,-0.1032589411547,-0.0996705832691462,-0.0674288328451985,-0.1144693959139042,-0.1060372815263331,-0.0900317376565118,-0.09365726233161,-0.1038182678915178,-0.1195193764786217,-0.1422341608327831
-0.0335008308948454,-0.0148854705665147,0.000927566667884,-0.3694440558273332,-0.2057576492971957,-0.2982706685523126,-0.1961008962281903,-0.2896017384300597,-0.2710418226924371,-0.3299930449657385,-0.4180951543091788,-0.1542818773692311,-0.3029673135980393,-0.1451488994379421,-0.4568781331532344,-0.1463861756110363,-0.1455737753541875,-0.1766669276006533,-0.2609567183667751,-0.2709480864626993,-0.0933463339153385,-0.287363446034149,-0.1473019999803228,-0.3288103274144893,-0.2139973094560922,-0.3379600087240298,-0.3853728881837923,-0.2272663720802271,-0.1862489499915129,-0.1234709673167849,-0.3869207865991589,-0.233232271637458,-0.2569792670131121,-0.1037486016688034,-0.4591693206691683,-0.2156509577630896,-0.2727891803048323,-0.3178549508089068,-0.1866366073175948,-0.3362199822686954,-0.15135583534783,-0.1388265613098602,-0.1073911904229435,-0.2505658378114576,-0.2406196489224429,-0.1669560296736199,-0.2659043047305636,-0.2717092787417531,-0.2202597686043673,-0.1998193654852561,-0.2809735007341649,-0.2657389130262421,-0.3028045969823348
-0.0508330397954865,-0.0254505495944863,-0.0135529574712961,-0.6766945349631619,-0.5008744964706963,-0.5810076358185216,-0.3995315192354202,-0.6208115763116582,-0.5394860141981057,-0.660755672871824,-0.7740307503756243,-0.3544715095918287,-0.5904590657699662,-0.3042713623566846,-0.8141752097973112,-0.3077406481674334,-0.3745343945019607,-0.392437987544282,-0.5697869802150585,-0.6120982822299876,-0.2616870783105578,-0.5630153211305364,-0.3567307507714807,-0.6560061977711589,-0.4407395401831258,-0.6497148162001612,-0.7645547084098644,-0.4984082291000825,-0.4455640244424702,-0.2776305241330229,-0.7065310726977438,-0.5394644272133607,-0.5314846117177241,-0.2651463414817279,-0.7888923616760435,-0.4530139492250431,-0.5455763362060455,-0.6376232892601361,-0.392116886457546,-0.6756264376064243,-0.3467399102897791,-0.3284613162033966,-0.201001578163546,-0.5169802663779629,-0.5035010853949204,-0.3693159646685979,-0.515361793259283,-0.59633457158305,-0.4696450824239453,-0.4178249144962,-0.5784454488998563,-0.5859027927278392,-0.579538948865269
-0.0522021204502414,-0.0387256603332925,-0.0322453274814766,-0.9244898796006736,-0.8413343152097487,-0.8811288734691137,-0.729432633725047,-0.904237058839578,-0.836072647425277,-0.9128631815824506,-0.963338634974956,-0.6764847532080644,-0.8718382254693547,-0.5870389689087603,-0.9743469226421306,-0.5823668587007238,-0.7118005713768398,-0.6997191352532834,-0.8548379556204552,-0.904179312992343,-0.5189273299873393,-0.850035047065771,-0.6626744662699943,-0.9256230902618592,-0.7505302284288711,-0.910912976900243,-0.9669564918655958,-0.8191298973649014,-0.7762177797110463,-0.5455845225955572,-0.942440614958308,-0.8497830961028788,-0.856283668119235,-0.5822076568637742,-0.9651388615334318,-0.7609006800521514,-0.8470273736372703,-0.9122231946016,-0.7096798779593222,-0.9246042161072852,-0.6764232646332689,-0.621581947428767,-0.4224185638525206,-0.8278312361645481,-0.8233239849373963,-0.646971622366922,-0.8055086878197553,-0.902817748607958,-0.7851507366458472,-0.7172863764003795,-0.879604135009483,-0.8990241399578828,-0.8608612985622093
-0.0373422560834696,-0.0269035037212958,-0.0430429740211153,-0.9819774749910192,-0.9658703765262686,-0.9764598069228017,-0.9141248502135174,-0.9770458803551426,-0.9497375083002598,-0.978785555195945,-0.9928675037436534,-0.8741368573083996,-0.9657073515988454,-0.8088685171142054,-0.9953684633254078,-0.8054507995498492,-0.918382486859176,-0.8973755514356939,-0.9563473362835462,-0.9802529975861908,-0.7725327702042122,-0.9562482501985656,-0.8516688962236403,-0.9830806438880756,-0.9231757492200132,-0.9804555161206596,-0.9943488659386752,-0.9491106057874604,-0.9473168918577736,-0.7564606520419893,-0.9885830539312148,-0.9685397051227368,-0.9625685182018228,-0.8362144572389711,-0.9943417013095556,-0.9290432858777148,-0.95300481984744,-0.9815681949465132,-0.9118512538957916,-0.982355724206576,-0.8970913205422525,-0.8454876613825105,-0.6775440027410821,-0.9505397601901824,-0.948383703260746,-0.8370519143630586,-0.9343465022801052,-0.9807234510899708,-0.9296188117060208,-0.8915546900725247,-0.9630536650544416,-0.984378739337172,-0.9604143751400378
-0.0190592049487486,-0.0259015902108464,-0.0367470106386913,-0.9880823964109676,-0.9845066243841738,-0.9893243755719152,-0.9517267132776696,-0.9864144739302112,-0.9699882555027908,-0.9866670253095392,-0.9958405799684104,-0.9249162895942258,-0.9789648040551436,-0.8855238712325433,-0.997208978746916,-0.8848915593445703,-0.9636929724514096,-0.9444445507034048,-0.9712105709760116,-0.9893030227516943,-0.873002420727712,-0.9699039633347548,-0.9003580444408588,-0.9904328569590464,-0.955816125826418,-0.9900946705494178,-0.99691677913266,-0.969378719318526,-0.9763387815455824,-0.8291414279540221,-0.9930931746371912,-0.9841617305472552,-0.9799832484369336,-0.9141348112480726,-0.9970598418379568,-0.9632177597097842,-0.9704095179774048,-0.9901072180189362,-0.954119945816456,-0.9897564778923504,-0.9474920649311712,-0.9176441096663912,-0.8089331357549185,-0.9697945608750544,-0.969983161264086,-0.8921121455487855,-0.9561653810183254,-0.9901802789545175,-0.9556703013277312,-0.9323438916324812,-0.9773377215019085,-0.9931754743547628,-0.977374971566378
-0.0165133111580538,-0.0193010113938287,-0.0262805352139079,-0.9884566320973066,-0.9868711370780064,-0.9910500130202796,-0.9585099370394524,-0.9877175567780424,-0.9720513402282062,-0.9875853946538038,-0.996054518092798,-0.9343259527381822,-0.9817450706548532,-0.8997241756781901,-0.9974786167010282,-0.9044761090506332,-0.9702921017674406,-0.9542620694109264,-0.9726900915980634,-0.9904326130572528,-0.8992739318885441,-0.9729570469185356,-0.9070932716119012,-0.9916206279415098,-0.9604607539626264,-0.9912119943097626,-0.9973005299434574,-0.9728786953620548,-0.9797070148488328,-0.847874105450286,-0.9940925588535082,-0.986536895380009,-0.9813015114115958,-0.9313325886794084,-0.9973237948420796,-0.9706955002679932,-0.9730466339916156,-0.9916622516494872,-0.9592647456107144,-0.9912152801672666,-0.957433868735615,-0.9336481994604334,-0.8460431779153673,-0.97195753813212,-0.971635296436542,-0.907606920549168,-0.9577303315657127,-0.9912003131282052,-0.9582481718497016,-0.9394393824382408,-0.9794520592877756,-0.9941505142945188,-0.9799213993202278
