0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
63.09962,64.76819,68.76662,73.04434,72.58707,67.39692,61.22772,57.176098,57.518143,59.935844,65.41233,71.73537,67.41479,16.29595,17.489103,17.73881,17.96916,18.915215,19.973698,22.633024,24.214293,25.515982,23.791933,72.13498,67.325935,58.54849,50.011215,43.656765,42.286945,43.277027,45.989162,49.660187,51.22265,52.466965,52.98862,54.97345,55.18827,56.857307,71.16135,80.34524,79.38783,79.75276,77.593025,79.890854,82.632866,30.198164,25.57297,19.847609,20.507238,24.094648,22.6299,19.991282,22.734615,23.078896,18.624674,15.274286,19.128218,24.085823,24.78245,25.312477,29.693922,28.985838,23.34201,18.207916,22.867596,29.782497,28.675041,30.331305,37.03499,29.157627,28.634224,34.16459,42.791546,52.603935,66.38576,80.52772,80.00861,61.897427,36.551414,24.099836,48.084087,69.10506,70.78501,59.001225,40.659157,45.088974,49.030922,37.27953,37.90601,41.255203,44.107483,53.635353,63.92539,62.555016,51.792156,43.584587,45.12732,46.56069,35.443184,25.972294
52.914486,49.354637,43.011456,37.18083,45.67847,59.66557,54.193783,70.818985,79.05655,83.550125,80.91484,65.37368,43.83077,28.586395,45.183475,51.803814,49.43565,62.842335,74.785774,73.45333,68.18816,72.729385,56.723156,37.84049,24.017239,53.46477,46.30133,50.059746,60.089085,63.68101,56.135708,51.06145,39.88481,38.438694,37.73366,38.689137,38.483242,37.962936,35.560894,40.384827,53.079403,51.72509,45.28378,45.168243,48.016285,40.170494,51.618214,58.51132,54.053387,63.632732,82.78574,82.13033,49.700783,31.670353,29.569777,26.950243,24.009083,23.136784,22.738243,22.519035,21.599348,24.702404,28.052011,21.782349,29.986713,20.68171,21.447119,22.51671,42.051296,50.24226,51.990173,71.00891,89.23175,104.470634,88.59074,68.264656,59.088795,37.458645,44.65398,26.319937,26.330997,41.823563,51.751785,48.605408,49.10165,50.7514,61.338093,63.72443,58.367958,57.93825,60.021366,60.338596,52.67407,37.802353,30.56761,31.955856,34.177574,34.476273,38.892506,49.629368
36.51772,34.87498,35.777374,41.578724,22.143364,29.598408,42.126404,43.890198,47.067932,48.333664,48.140984,27.38233,27.443493,32.879616,36.8416,50.03763,50.541664,55.04167,55.520058,54.728012,51.595303,40.90968,32.01998,26.542547,40.90216,38.3705,46.03471,55.44211,52.727676,51.833176,50.555527,46.359154,52.610104,45.13567,45.091366,36.679493,44.46008,58.457493,70.28051,71.21184,66.509766,64.93156,58.320602,60.829407,65.09501,60.536476,68.9787,71.801735,74.49883,81.58487,76.35137,76.40598,64.585205,47.90265,33.890854,26.849169,35.011765,33.29595,48.013313,51.977707,51.14633,51.740555,54.08661,56.16458,56.058163,49.97493,36.120308,35.208195,48.20817,62.714478,81.657906,84.101204,81.41502,85.7945,88.091,102.21217,83.15419,63.826897,59.992615,59.352936,46.76949,47.973648,49.787228,52.141872,55.878403,62.78493,66.77019,71.71121,71.878174,69.59882,64.516075,58.00707,49.603077,49.540863,54.149284,52.053013,47.24847,43.24953,39.363636,46.24125
39.25737,44.340794,45.631386,47.01956,33.956352,41.909645,51.251827,61.73244,58.570183,57.6376,57.067585,59.885166,62.273285,58.420918,56.828228,51.813244,52.16225,46.573616,43.606403,38.60922,34.967854,36.380478,37.577393,36.7382,38.492664,45.50492,52.71509,58.303326,60.40097,62.442875,65.8746,74.92472,75.2388,76.35527,76.43559,78.58999,80.192116,75.257744,78.14392,74.41677,68.531525,63.196995,60.203266,59.383938,61.409405,55.243324,57.159595,56.393185,58.814655,60.842304,54.60642,43.12124,41.531166,41.98868,39.29144,36.591312,37.655735,40.64208,42.668995,42.372974,44.470676,42.22201,43.140327,44.476078,36.62338,35.14379,40.280884,45.28284,52.03475,51.253933,56.956394,66.56169,62.88165,65.802826,61.712715,54.142445,49.8947,47.35195,33.987453,59.69779,63.63688,65.03765,28.349281,26.474667,31.777496,34.186672,34.83079,36.12421,34.460827,31.396435,35.00776,36.52878,37.742947,42.378056,53.29021,66.91022,77.841255,80.661156,80.41263,80.1468
44.99174,47.56731,53.990314,61.858093,70.034,77.12084,74.4708,68.185165,58.739754,48.57474,45.86685,48.75934,52.8209,52.93376,49.656506,49.479553,38.853115,42.22229,42.271538,41.62073,44.711185,49.68983,48.540234,45.638954,47.64021,52.39869,50.63715,49.968555,49.222305,48.7186,46.023956,45.116165,47.2939,44.995155,46.42851,46.947815,45.83956,51.322872,44.976593,43.535435,43.554474,43.009468,49.798748,59.831627,61.00178,63.428272,60.364944,57.42359,59.769875,46.50844,40.767063,34.94537,28.405676,29.306213,25.205973,22.86345,24.431946,23.771025,28.280933,29.383194,29.842854,31.530476,32.916756,32.266254,44.058483,47.542095,55.411774,57.57761,57.58425,61.983505,65.205986,53.1885,51.969112,55.09359,48.605476,48.161465,49.04169,38.743317,32.726128,29.248945,35.503475,36.677917,39.808296,43.004433,44.94901,50.45655,50.11325,45.599117,43.634888,43.75437,43.627686,52.120434,54.84973,55.588264,60.987926,74.52921,82.72881,58.026577,30.389648,24.506054
83.26112,81.62331,79.20032,78.15017,75.9738,59.457355,37.91061,27.50954,23.55413,25.158457,27.564445,27.365671,30.315084,27.872904,31.339392,30.640697,35.204327,38.50826,40.63345,42.41232,49.818993,58.35509,69.16905,70.34397,77.44742,81.38321,86.75531,74.335976,63.360107,51.619728,47.281895,49.116528,49.139545,50.419506,54.570942,54.389084,54.090923,56.60001,53.652508,53.43641,49.556583,53.76616,57.108395,57.08431,54.507122,60.43409,71.300644,71.660324,75.19475,71.10632,75.07919,72.19996,68.3604,60.2605,48.20538,46.142384,52.275513,59.358944,66.700775,73.50485,56.53915,52.84161,32.454243,29.460947,33.020813,38.560116,41.541737,49.98373,54.681614,63.200886,66.03755,62.13326,60.058155,60.73544,63.105778,56.8027,50.240192,45.296192,44.145985,44.158367,58.723133,73.48456,80.712906,82.63501,89.902985,69.879745,65.49509,63.29845,57.81558,58.6497,54.44907,66.7965,69.184456,75.88692,78.663216,74.87404,39.431324,12.036929,18.978575,47.281284
33.636105,34.235424,42.21221,45.056984,41.703373,35.590015,38.32484,46.9089,46.528812,42.762184,34.675343,34.45089,35.63528,41.85153,46.90367,47.018627,44.939274,42.062325,43.711487,46.430614,52.412247,64.04629,72.38249,76.72111,74.06631,67.02258,71.537155,78.50953,77.72913,64.73893,48.609882,40.271244,46.060635,61.551937,66.61115,67.81344,63.571545,48.19144,48.866024,57.372765,59.257915,59.794254,62.024414,72.076454,73.99372,63.437595,65.60442,67.991295,66.21748,62.33199,55.19601,27.068026,1.202148,-10.246352,5.961149,21.637388,36.041405,43.7421,48.19076,46.440258,39.72554,36.704365,38.48528,45.531055,47.120556,44.055866,45.776684,54.22089,57.582714,63.090557,55.708317,41.6359,16.680609,-1.6800513,-11.913115,-4.278669,15.336232,32.73458,19.830463,11.246448,-3.030823,-13.316658,2.1940067,40.24392,47.41785,53.156803,48.18298,40.064953,33.34976,34.32251,30.985933,34.455494,43.142395,52.50987,60.328224,49.54092,38.0613,50.036816,37.11498,31.91014
35.724976,50.458477,56.283844,57.47371,63.789024,68.82965,62.00483,58.485172,63.989014,63.84211,59.63321,55.169388,55.899597,50.997902,53.70491,63.474327,73.210945,75.03176,69.2183,70.0387,65.05043,67.05238,58.798878,46.174465,54.426437,71.73458,71.29092,50.446632,44.561325,46.75915,46.814915,39.264076,44.134155,46.25528,45.878265,48.795197,49.17224,47.649918,51.42556,39.307854,39.778423,50.530987,59.876163,50.924072,45.29085,52.28327,56.500465,48.492393,50.71983,50.08928,45.836937,47.041084,43.064007,45.59734,44.491837,49.57212,44.1864,41.98842,32.74004,37.20064,50.72139,54.40054,59.04499,55.75554,67.11949,69.9544,74.23529,79.73467,73.99052,60.276802,40.57254,35.469624,38.00489,33.810627,33.984585,33.198944,30.403954,35.185978,44.033306,49.163925,51.606556,46.705788,34.225075,33.278553,41.82068,46.22959,37.873802,39.222534,43.907497,53.84223,57.030037,59.69889,64.15675,64.77832,59.713745,50.75135,52.615135,57.232952,62.9452,58.705334
39.36497,47.202198,52.894955,65.042984,68.95711,72.90319,72.800514,75.359825,77.52091,73.21696,76.79144,83.10018,87.80003,87.634605,83.193565,75.30607,54.321186,34.1014,30.504644,38.78274,44.895847,47.1116,46.094128,48.050884,47.499443,58.635532,55.196583,52.75927,38.782146,42.638214,56.20875,58.69277,63.394997,54.10987,45.633457,45.606106,52.38266,71.308044,47.926796,33.540916,47.115025,50.067524,60.851536,68.59858,45.85406,46.020382,48.029076,48.51111,53.036106,30.670527,16.834883,14.642361,21.433245,13.455668,-17.51402,-17.341133,-7.9879203,-1.6185852,-3.8112984,-10.696143,10.127928,18.845266,31.504211,28.74455,33.608128,49.36009,63.84702,57.090572,40.09598,25.339376,29.22309,30.105444,24.529783,18.101494,7.622148,11.718067,29.574038,28.44447,22.805227,15.152174,14.146278,30.12236,46.18414,22.816074,11.796649,7.521951,43.273163,58.938625,42.329147,32.847637,36.487446,46.786266,64.78965,70.83524,56.153095,51.289288,51.41859,51.03683,50.8512,59.121807
47.403275,60.319576,54.229286,53.114326,54.728745,44.386772,31.593216,45.793198,47.195175,41.489338,37.760315,50.94187,68.105446,65.187965,44.34739,20.843006,17.844812,19.799335,39.062748,55.939854,58.42868,56.85525,55.87143,53.506584,65.216385,43.75393,28.606134,35.241367,34.657177,36.131393,39.82933,48.450123,43.862656,46.077393,42.557716,21.763996,22.541811,26.817772,31.118774,45.025272,45.317307,47.674965,40.941696,74.50506,83.62454,56.96944,33.771572,26.304737,29.88068,45.16721,59.778397,54.0992,49.619377,58.18878,46.562485,38.37584,22.141138,27.820805,26.077608,18.538525,22.959297,41.596222,39.429443,35.2417,60.0336,59.1055,50.850983,43.46107,39.10456,35.71024,41.568123,41.852535,56.116516,63.88214,34.28923,35.576885,44.413795,43.150322,32.456062,28.358126,25.302515,34.430374,29.520359,31.330643,34.974518,27.738659,35.28978,40.148468,39.74199,31.315834,23.562786,65.61283,63.036953,46.425426,33.991352,29.843834,35.094093,40.024048,43.014805,44.117195
