0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
5.542048,0.0,0.0,0.0,5.6272717,5.737878,5.2521152,0.0,0.0,0.0,-3.418752,0.0,-0.0,0.015671171,0.10348264
5.919486,5.433364,0.0,1.6630757,6.104724,0.0,5.7141027,6.259504,6.192621,0.9415044,-0.0,6.6504,-0.0,0.0,0.10654899
0.0,5.490434,1.9587026,0.0,0.0,0.0,5.784912,6.3333654,0.0,0.9553906,-3.739692,6.7313795,-4.574458,0.0,0.10701896
0.0,7.368752,0.0,0.0,8.823862,0.0,0.0,0.0,0.0,0.0,-0.0,10.122918,-4.8600225,0.0072248373,0.41074124
9.157097,7.7348804,0.0,3.1074557,9.310816,0.0,9.772272,0.0,8.848982,0.0,-0.0,10.706137,-5.0863686,0.0,0.0
0.0,0.0,1.9511606,3.1357203,9.38544,0.0,0.0,9.691913,8.919121,0.9756884,-3.6535435,0.0,-0.0,0.0,0.42148465
14.896074,0.0,0.0,0.0,0.0,11.7529545,0.0,14.989421,12.638818,0.96145606,-2.772624,0.0,-6.486304,0.0,0.0
15.575368,10.722059,0.0,5.422073,17.637398,12.307103,16.577747,0.0,0.0,0.0,-0.0,0.0,-6.796047,0.0,0.0
0.0,0.0,1.9687988,5.4581394,17.771023,12.392017,0.0,0.0,13.32269,0.0,-2.8536534,19.443281,-6.84351,0.002778477,0.0
20.5986,0.0,0.0,8.797661,0.0,0.0,20.944134,19.937004,17.376772,1.061481,2.0381575,0.0,-0.0,0.00011550079,0.9325924
0.0,11.63014,1.9969239,9.238951,0.0,17.1153,0.0,0.0,18.230947,0.0,2.3007073,0.0,-0.0,0.0,0.93507993
0.0,11.694462,2.003843,9.306576,0.0,0.0,22.033566,0.0,18.36184,0.0,2.3409522,0.0,-8.574206,0.0,0.935461
25.469429,11.320364,0.0,0.0,31.297909,0.0,0.0,0.0,0.0,1.1835442,7.189908,0.0,-0.0,0.0,0.922634
26.53963,0.0,0.0,0.0,0.0,0.0,27.16098,25.576065,0.0,0.0,7.4935236,32.597183,-0.0,1.2113203e-05,0.9251162
0.0,0.0,0.0,13.192985,0.0,23.54892,27.336,0.0,0.0,0.0,0.0,0.0,-8.943114,1.0572767e-05,0.9254965
29.943329,0.0,1.9355377,0.0,0.0,0.0,0.0,0.0,32.11679,1.096826,0.0,34.272472,-8.135664,0.0,0.8972019
0.0,0.0,0.0,15.697172,37.904625,0.0,32.124252,0.0,0.0,0.0,6.066187,35.702515,-0.0,5.6544195e-06,0.90396464
0.0,0.0,0.0,0.0,38.148018,0.0,0.0,30.902151,0.0,0.0,0.0,0.0,-0.0,5.0016533e-06,0.905001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.198933,-7.115832,-6.1222313e-06,0.0
36.62472,11.793484,0.0,18.05096,0.0,39.665825,37.669426,0.0,40.70559,1.0000209,0.0,0.0,-7.3202105,0.0,0.81738883
36.85158,0.0,0.0,0.0,0.0,0.0,0.0,38.88858,0.0,1.0006628,1.7918152,39.01811,-7.3515215,0.0,0.0
0.0,11.77396,2.0167615,18.82597,50.753174,0.0,0.0,0.0,44.217587,0.0,-0.0,0.0,-0.0,-1.0520534e-06,0.75095904
40.032673,0.0,2.0169513,18.82964,50.764328,45.045074,0.0,0.0,44.227436,1.0002223,-0.3316822,40.871662,-6.557432,-1.0547992e-06,0.75097466
0.0,0.0,2.016977,18.830137,0.0,0.0,0.0,0.0,44.22877,1.0002255,-0.0,40.872883,-0.0,0.0,0.0
