0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
19.0,4.0,15.0,119.0,6.0,91.0,58.0,77.5,33.0,97.0,5.0,1.0,50.0,90.0,8.0,93.0,49.0,135.0,160.0,40.0,100.0,1.8175883,-0.0007969223,0.0007439817,0.000118133365,0.0021265452,0.0006509678,15.82806,14.639881,7.6400957,4.572399,19.545202,27.268099,2.2296078,0.0007761502,-0.57460713,0.000209187,2.0148358,0.35729712,5.143063,2.8739872,1.9577589,5.15454,4.266999,2.8204944,2.414449,0.54902524,13.329588,2.6068192,17.577589
18.538744,4.5918226,18.481995,68.425224,8.076622,49.394154,59.262302,52.81333,29.024277,45.58141,5.2038455,0.97798216,51.238235,72.93274,6.1298685,57.53993,35.94518,120.774025,130.2268,39.853733,101.61341,2.0954611,-0.00079692254,0.0007439813,0.000118134165,0.0021265715,0.0006509739,19.72463,21.893223,11.084632,4.113708,24.640356,45.792885,2.8438828,0.00077615055,-1.5410116,0.00020918033,3.7917712,0.45853227,7.4389405,2.645899,2.5270643,6.1733527,4.982736,4.1237993,2.6968842,0.6842888,27.134846,2.7098877,30.259628
18.430723,4.8240604,19.184248,86.668594,9.11508,63.542824,64.7424,62.54488,29.115774,57.46846,5.5199766,0.9785562,51.55489,79.271935,6.7835307,72.49907,42.584827,124.662926,155.8537,41.472454,103.4548,2.3348904,-0.0007969262,0.0007439696,0.00011813423,0.0021265899,0.000650974,28.66694,30.344696,14.623004,5.578303,27.56478,59.884846,3.022891,0.0007761502,-1.5950187,0.00020916518,4.243724,0.47458732,8.888425,2.9866621,2.7856746,7.828265,6.693752,5.1783957,3.9831152,0.73371446,48.07846,2.8373723,44.070618
16.775967,5.05343,20.259218,103.26606,8.800829,72.69013,63.082096,71.944725,31.527037,65.88466,5.9399233,0.9868914,53.364338,86.19439,7.3857245,81.72361,44.285408,132.07076,172.8768,45.65472,107.103294,3.0626085,-0.0007969223,0.00074396224,0.00011813422,0.002126625,0.0006509743,36.847954,38.380653,20.074842,5.5432553,33.39487,77.70795,4.2137623,0.0007761511,-1.6479626,0.00020915273,5.960935,0.56427145,9.430246,3.9951825,3.3859012,8.903621,7.5376987,5.7155137,5.1247673,0.99338394,70.158455,2.8944497,54.19985
18.91324,5.38216,18.276363,122.0,8.430757,81.0,52.0,77.5,33.0,97.0,6.2370453,1.0,50.0,90.0,8.0,93.0,44.0,135.0,160.0,40.0,100.0,3.7385247,-0.0007969223,0.0007439795,0.000118134754,0.0021266148,0.00065097405,44.552887,47.09669,24.249342,5.3590193,38.8333,101.9,4.623955,0.0007761558,-2.388767,0.00020917376,7.421692,0.61601645,11.431252,5.139923,3.1988637,9.79964,7.646534,5.9079213,5.4743586,1.1892613,89.65728,2.9928083,66.40164
18.958715,5.366806,18.69235,128.24715,7.9653077,88.71938,62.121014,83.61375,35.144264,97.430374,6.4853296,1.0023042,51.03952,96.85752,8.118534,99.229385,55.530342,140.8826,171.97983,41.331043,101.88831,4.645087,-0.0007969223,0.0007439778,0.000118135045,0.0021266097,0.00065097417,48.6746,56.652225,27.325212,4.951383,39.778206,102.06876,5.0965114,0.0007761667,-2.6669466,0.00020918626,8.289163,0.9889125,13.77563,6.379057,4.0867596,10.805232,8.973961,6.1960106,7.4031816,1.509812,113.141,3.0702014,79.46973
19.046753,5.361969,18.644398,116.0,7.9293485,92.0,62.5,77.5,33.0,96.0,6.464255,1.0,50.0,90.0,8.0,93.0,56.0,135.0,160.0,40.0,100.0,4.6526256,-0.0007969223,0.000743978,0.000118135045,0.0021266097,0.00065097417,48.923237,56.600525,27.563124,4.723615,39.588223,102.39447,5.0998955,0.0007761667,-2.633673,0.00020918626,8.344628,0.98889774,14.080475,6.416403,4.0928054,11.027017,8.845742,6.204525,7.4719195,1.5102265,119.1144,3.065948,81.01782
19.006086,5.3547297,18.569317,131.87991,7.937463,91.16395,66.87108,84.2636,34.2738,100.26174,6.4622183,1.0023055,51.570457,96.42355,8.0891695,98.28224,58.463257,142.11327,174.40282,41.095894,102.326706,4.8153405,-0.0007969223,0.0007439764,0.000118135045,0.0021266094,0.00065097417,49.17305,56.920662,27.918568,4.7553735,39.177998,103.06703,5.146918,0.0007761667,-2.6071544,0.00020918627,8.564878,0.9888132,14.197347,6.5733185,4.107032,11.172634,8.777956,6.2214885,7.541231,1.5124038,125.57395,3.0644312,82.00607
18.41952,5.1100926,17.598251,118.0,7.5843644,99.0,70.0,77.5,33.0,96.0,6.1721582,1.0,50.0,90.0,8.0,93.0,63.0,135.0,160.0,40.0,100.0,4.962815,-0.0007969223,0.0007439737,0.000118135045,0.0021266092,0.00065097417,50.445736,58.419727,28.810167,4.3321548,39.633213,104.87735,5.20926,0.0007761667,-2.5548995,0.00020918624,8.773539,0.9889972,15.501922,6.824604,4.1339145,11.428984,8.700278,6.1128426,7.6173697,1.5270114,130.82343,3.0612988,84.73009
18.406057,5.039224,17.106018,122.6728,7.2521205,91.71004,58.697647,84.02647,31.84411,102.92788,6.1091375,1.0022985,50.33844,93.32753,8.188183,96.13235,56.475483,137.7181,164.22932,40.959538,95.1856,5.136066,-0.0007969223,0.00074397336,0.000118135045,0.0021266087,0.00065097417,50.931057,59.342808,29.347363,4.328864,39.862568,105.63617,5.2978163,0.0007761667,-2.5093985,0.00020918627,8.91449,0.98872334,16.675207,6.98608,4.181653,11.633219,8.503125,6.1080074,7.7735853,1.5437634,136.48082,3.056188,87.21157
