0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
63.09962,52.914486,36.51772,39.25737,53.89262,46.865288,54.348835,48.93988,46.257214,52.709747,61.04072,67.76782,47.63292,30.021124,68.73206,12.212102,54.271233,81.6822,69.8229,40.95246,55.09801,51.12006,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.1997,39.50038,25.38424,34.36507,35.319553,42.328705,39.065342,39.152885,34.380962,40.406998,50.04513,59.258347,45.619656,28.684986,53.75618,78.409996,49.623844,37.097458,70.93182,25.343626,37.785465,38.684383,53.516388,66.15187,74.94332,62.6617,29.159277,48.47549,38.182068,45.61837,26.232426,56.092373,26.705288,19.431955,36.972424,69.12698,49.97745,46.98223,37.656258,36.48227,44.522575,37.621906,40.826397,43.26876,52.330257,49.717808,55.79924,40.968876,38.087563,35.015984,31.492695,36.40806,52.071873,44.484264
64.76819,49.354637,34.87498,39.611942,54.49027,47.209282,73.92448,72.98302,65.79434,57.120285,71.308426,59.53051,48.10508,33.636814,68.73206,12.212102,54.271233,81.6822,69.8229,40.95246,55.09801,51.12006,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.753597,33.933075,41.56262,44.683754,38.681446,48.960754,47.421757,62.766075,62.979626,62.856712,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.84674,37.208015,47.473785,42.47417,28.755766,39.820415,67.362366,76.269585,60.829197,58.534878,59.782234,66.080956,63.05409,43.000637,38.285004,39.067997,46.21865,47.978626,47.543503,55.90419,53.22865,63.861217,55.38509,53.758224,66.10913,74.819084,62.479843,29.34069,48.654823,38.11443,45.555763,26.432476,26.18077,25.368568,28.899906,24.970707,37.36289,51.413765,52.394844,50.19165,58.72992,55.972603,56.76001,48.997345,51.932945,46.00151,45.501377,52.879696,38.181843,47.70098,43.832363,31.357819,36.72093,37.701645,44.80206
68.76662,43.011456,35.777374,36.650658,47.030876,43.53617,37.448734,50.953033,47.794807,54.82995,42.253506,33.97489,32.037354,29.810223,38.86247,27.351236,34.202534,38.007576,50.951424,53.330196,59.876472,39.704872,22.117798,29.389715,-1.0,-1.0,-1.0,44.603973,37.929928,36.042774,49.28612,47.966553,49.729923,66.667145,54.52147,76.71547,63.31153,55.924812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.51204,60.839207,50.56844,44.19107,41.484257,48.001156,58.787537,67.5212,54.775715,54.48051,52.85514,51.197803,60.624092,47.964138,38.78199,38.725784,41.670258,53.307117,47.491756,53.56378,59.27537,52.59782,59.14889,53.69571,66.06639,74.694855,62.297985,29.522104,48.83416,38.046795,45.49316,26.632524,71.07325,62.258205,61.97154,56.901493,47.63837,56.335514,64.419655,53.889687,59.892815,63.17844,64.45029,77.24803,76.51649,57.93933,53.374992,56.816093,49.732807,52.31939,47.110508,31.492695,36.40806,37.35606,51.013958
73.04434,43.392338,36.01032,45.0388,57.525368,64.17827,66.22997,69.455956,64.02589,56.39087,62.93993,60.19159,45.034893,35.34129,50.056824,57.953342,60.445927,52.08655,54.15937,53.606403,50.09618,37.976665,38.46734,40.342247,37.095955,41.320248,35.747715,63.848076,46.569176,55.089863,61.75143,48.956253,53.969177,63.315468,78.923294,62.4812,45.33907,28.419174,33.28023,48.193,47.740406,42.74674,42.082317,72.68714,76.17856,68.007286,70.15324,53.484844,52.504616,50.11366,53.831314,55.42599,50.82699,45.190723,37.85141,48.97785,43.57007,29.06691,50.38878,37.975555,36.9062,35.103897,48.66299,39.892742,44.894722,46.977726,43.646328,52.69756,55.230133,66.02365,74.57062,62.116127,29.703518,49.013493,37.97916,45.430557,26.832575,36.77828,54.874256,65.43279,63.142082,71.925606,52.676853,60.806614,55.349068,70.72638,58.113277,49.328964,35.57404,36.712135,39.25597,56.520954,46.73649,67.356155,58.063118,76.56846,31.492695,36.40806,37.010475,46.660294
68.247025,43.424526,36.243263,58.72897,63.076107,68.49085,74.83299,74.08805,63.46082,56.96826,49.365437,52.502434,57.87135,49.876797,52.242226,63.257996,57.445644,51.734055,44.85071,38.22553,39.060947,50.939342,49.509117,44.242428,52.65317,63.996292,45.7184,65.138336,56.130005,43.69283,36.70261,52.501408,46.946182,48.640915,33.340908,32.191154,43.635014,35.3278,39.96942,54.254257,54.92676,56.72061,61.479843,65.33011,54.708786,31.505354,29.342869,31.16622,53.11572,52.480476,55.51191,47.48313,42.84176,50.0629,53.931835,52.67533,48.35965,45.305923,38.663105,42.00148,42.0951,31.481833,26.973204,40.40588,42.315975,37.72821,39.58411,50.572666,55.240368,64.1358,64.79262,58.5743,48.66444,35.131493,37.911522,45.36795,26.690155,53.170662,54.905113,47.792698,42.165985,35.825676,47.4505,37.546986,52.060127,53.45074,57.51473,46.93921,47.843105,52.713196,59.79885,52.30215,51.8714,55.800106,59.014862,73.94617,31.492695,36.40806,36.66489,33.512074
63.44971,80.80295,77.88134,67.05128,71.614105,72.2589,40.77206,24.21474,59.101727,60.15154,38.10869,39.456753,27.291334,53.41605,35.56047,35.445217,29.587759,47.523415,44.110065,46.59274,56.492104,60.769726,66.197754,69.95352,71.02582,63.90536,57.526035,48.446487,33.890625,51.607243,42.979836,55.513805,56.714466,47.760246,55.586082,53.974922,50.210674,56.718422,45.528694,49.309418,53.216167,66.55432,65.30747,43.377766,37.567238,44.38612,55.267803,58.242863,72.0607,59.809372,60.538532,61.961246,65.9789,63.47755,69.25608,69.52298,75.218475,77.2963,64.590836,53.87226,58.155415,55.448254,32.791393,61.193554,44.417614,49.06168,56.38699,57.51241,65.267715,72.81043,65.17018,50.520733,38.966553,59.852478,56.312305,58.48058,55.556664,46.03336,43.92068,37.31619,46.375942,45.775608,48.20932,48.468765,57.448616,49.936474,61.77023,60.66579,60.50793,65.8772,77.066284,64.240425,68.11716,69.628845,75.59755,62.668713,31.492695,36.40806,36.319305,30.771185
58.652393,35.706047,55.655544,59.955997,56.0454,46.836327,36.057384,46.986595,54.27287,55.261345,38.266422,41.517105,57.577168,55.294018,48.440094,49.774136,36.857883,42.280647,44.92383,54.82258,62.44927,60.122974,72.31909,77.228485,61.778877,38.120884,53.622253,32.544914,56.227245,54.090157,57.25195,54.149155,56.886604,52.073723,49.923836,61.843643,69.41921,84.82665,79.90167,70.17673,58.734608,65.09362,57.10868,49.47656,35.62668,40.825665,54.102444,62.133434,71.741905,62.180496,63.958973,86.50888,81.21108,80.63024,74.58341,70.567764,57.37945,45.033134,56.526264,62.60147,60.350986,62.347694,67.2867,55.90566,41.46066,62.41418,62.677727,56.4053,60.53082,57.203686,63.31438,42.269527,32.256207,51.66716,62.471832,55.449356,51.59054,47.43379,60.410114,58.49023,50.283962,81.06754,55.70539,68.60348,61.30822,61.62748,58.08218,65.81539,48.205597,36.155426,34.47708,60.682438,53.910088,69.28586,61.197014,56.74763,38.23188,49.85333,35.987133,34.31143
53.855076,51.334473,50.61157,59.636864,59.60376,49.59358,55.375454,54.016724,46.451305,55.196728,53.743385,55.525536,60.258327,54.262794,52.474106,67.92736,70.58743,65.325356,60.041122,61.51288,59.873306,68.25815,63.782784,32.187794,25.026308,38.14976,53.585224,66.27907,52.167564,38.24725,40.301617,56.439285,56.41985,52.848137,60.825047,61.607834,62.117504,53.345947,44.037415,34.750687,36.8294,39.665646,36.954514,42.537052,49.6691,49.26895,50.23727,60.843555,58.041023,62.399483,63.87707,30.968063,35.336807,53.143383,61.77606,51.667175,39.58486,43.95468,55.823746,59.3188,46.034718,62.593246,63.637142,52.209164,64.90346,58.973988,65.2516,59.112366,53.446423,48.243668,37.60095,37.130314,45.199635,37.199757,41.05828,42.53646,42.89873,49.367966,57.01575,58.428135,75.20208,54.60712,58.349102,44.973053,26.177343,29.611713,44.573067,39.045513,29.878698,32.844955,37.959023,59.499912,56.360703,63.896503,59.604973,53.37623,50.981316,59.163563,61.670776,38.12632
49.05776,44.489002,57.474453,65.33386,65.4132,64.99729,72.374596,66.55046,61.585823,49.971237,77.6763,84.47535,70.47767,75.21948,83.42031,68.21645,46.222187,34.185833,38.88444,42.302822,53.13927,50.8443,48.855644,45.143314,45.626698,47.142803,51.68654,41.34954,48.4453,57.072067,57.98552,56.685303,56.878796,47.59626,49.993397,46.12591,39.66511,35.62156,35.26807,49.00143,57.272175,56.87755,59.949387,57.989864,60.227173,64.13219,58.80515,66.377464,67.54512,63.632538,62.72572,48.28223,50.38063,57.978527,59.034565,59.82759,59.19795,54.559822,50.96675,51.074646,48.950706,51.0912,44.643948,39.725574,42.85535,54.746876,59.299915,56.171993,49.37164,47.66216,32.086628,30.498636,42.142704,40.98976,45.955963,47.505768,48.119377,56.918537,58.025097,52.381367,50.82828,38.14532,56.23518,40.242836,53.9247,54.67946,54.54188,50.51043,45.136574,28.440275,35.269222,60.571186,63.142834,52.800747,56.28511,52.748848,43.81819,45.688087,51.290268,41.859703
44.26044,48.9121,55.88441,69.28413,68.74858,57.30812,30.023308,45.205822,42.364944,47.245605,43.443737,51.246964,70.27132,68.918785,50.994045,26.61516,23.171663,28.612928,39.31584,50.42342,55.081375,52.752094,49.314148,59.505634,62.8349,50.951252,52.891487,57.808746,56.45748,41.182228,49.355057,59.005276,47.30811,45.607567,45.19086,40.260635,44.23376,33.921783,47.868958,46.635155,64.47572,73.12527,64.507744,71.289085,63.608326,49.45639,66.4116,61.579094,67.065994,59.27555,59.734882,55.092113,77.74659,76.25351,66.957054,61.2452,61.475315,59.558937,50.145493,44.30199,44.14674,31.921707,25.756138,40.7096,46.575115,54.716373,42.88435,51.094097,45.366627,41.69911,39.95923,49.031902,54.302845,49.837708,36.764736,56.759422,60.11936,59.081196,68.30041,60.130405,49.40585,50.81387,55.91038,46.014175,60.72584,60.028915,59.00771,70.65687,74.10006,76.152916,58.959038,62.44723,60.018536,54.030872,30.559853,44.074467,42.65384,41.348835,44.007515,43.046818
