0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.6761041,-1.0,2.3845105,-3.019899,-0.4516566,2.211256,3.64626,-1.7574145,-2.5141358,0.030966844,2.1100092,4.081503,4.8995876,6.0656815,-2.0230644,-0.23327382,-5.2765384,-3.137293,5.2677627,-0.5326065,-5.324033,-1.0685192,-1.0,1.5647428,3.5545917,2.75879,1.0968302,-1.2682217,2.1014848,9.276125,3.95222,3.2339127,5.6028824,0.8320462,4.1049137,-1.0,9.420244,-1.0,2.9248965,-4.3307962,1.8803308,-1.0,0.36917517,-0.95105946,-0.30893555,4.1921287,9.536462,8.308662,4.4603996,-0.15823974
1.5180124,-1.0,2.3281035,0.16425247,2.9130507,2.766699,6.3559256,-1.8436426,-4.1457434,2.8757923,4.161021,1.5614109,6.392763,6.63099,-1.4177408,0.74971193,-4.687669,-4.422577,6.487636,-1.6338037,-6.219423,-2.2299182,-1.0,6.594571,2.8561096,2.4553306,0.5155226,0.14341697,2.4010339,5.2943015,0.16309494,2.6887171,-0.18464543,1.9286379,4.1117177,-1.0,9.467754,-1.0,2.7107112,-4.3691664,3.07496,-1.0,0.36917636,-2.8376818,-0.54512584,4.5608387,4.180027,3.4980114,-5.3363147,-1.7774122
1.6791718,-1.0,2.3188639,1.0618467,1.0145472,2.3069143,7.9902782,-1.8430537,-2.5462012,2.9964302,5.29056,1.2988646,6.39099,7.087962,0.5970685,0.06907121,-7.2906513,-1.8999954,4.479852,-0.8881856,-8.10415,-2.19232,-1.0,7.921534,1.2695144,3.2444813,-0.9572923,1.6062118,4.1094546,7.4536476,-6.3047657,0.93992543,5.5657916,1.8884139,4.115416,-1.0,9.478512,-1.0,3.207497,-3.5858624,4.42007,-1.0,-0.3154755,-3.4354253,0.28717655,4.5682745,10.8039255,2.8451507,-0.28601727,-1.9954246
0.45501024,-1.0,1.1610945,2.552395,3.2548332,3.184877,6.9225545,-1.8429135,-2.802128,0.072738506,9.879743,1.2003148,6.185801,7.0576377,1.7895471,-0.7305313,-5.0111465,0.7007178,4.5528426,-0.31464338,-7.3113737,-1.8793947,-1.0,10.992656,5.0476165,2.5058522,-0.2119343,2.3103251,5.2965975,3.6516929,-4.5937834,4.555406,6.5365844,3.2509785,4.1139708,-1.0,9.483836,-1.0,3.8941424,-3.4792812,4.3966427,-1.0,2.6791759,-0.73366225,-1.1430123,5.0951457,10.2288065,-0.906523,-0.29036984,-1.0692544
1.7451003,-1.0,2.292226,4.1402082,5.267464,3.7305012,2.2227857,-1.8422612,0.8270949,-0.26252624,6.087099,0.7764221,5.850617,5.6084437,4.902607,-0.5006588,-4.558282,1.4236209,4.2123585,-2.7274091,-4.175954,-1.1733385,-1.0,7.694529,8.396939,2.589718,1.2547431,3.3411648,6.451256,-0.4974325,-4.4913497,3.2853937,7.097835,5.8652415,6.2954893,-1.0,9.40433,-1.0,5.514307,-3.3485873,7.1278124,-1.0,0.5383412,0.12010635,-1.3158314,5.6807523,2.1200647,-6.3544455,-0.2950364,1.3450353
4.7538104,-1.0,1.0863478,4.4629045,6.825763,4.1715384,-2.613608,-3.4358046,-1.0022192,2.3232543,6.2797174,-0.048466276,4.9333787,4.3620176,7.211682,2.0222592,-3.3823166,1.4960105,5.951722,-4.3628583,-0.6420327,-0.42303863,-1.0,4.398913,8.491941,1.4691147,3.3858185,6.2555447,7.341914,-4.0386953,-3.5573318,1.9131458,9.613858,7.9542775,1.2986208,-1.0,7.652978,-1.0,2.5874004,-3.8490999,8.068234,-1.0,0.5383584,0.89633304,2.1250036,7.0264587,1.9569647,-5.1486864,2.108854,7.4375777
1.702553,-1.0,1.5346497,5.735232,7.150601,0.2472507,-3.617463,-1.5822179,-0.7469799,3.8704412,7.8730106,-1.4011813,4.298112,-0.74780357,8.215166,-0.8815246,-2.3574808,1.3542429,5.4239297,-3.2316866,2.3786185,0.70775163,-1.0,3.0637758,8.228047,0.17884299,4.1461935,9.126623,4.103788,-2.2742147,-0.10895692,-0.20021214,9.500324,6.8068533,-3.9875543,-1.0,9.136103,-1.0,-2.2653084,-3.7909935,7.9854054,-1.0,2.0519893,3.3359616,4.15287,5.2676005,-2.6800594,-3.4935906,1.7763001,10.634429
1.5490781,-1.0,1.7323029,5.9042044,4.260531,0.62720287,-1.0274253,-0.9621364,0.6273451,4.5610685,7.3343086,-1.0710202,4.275876,3.2665756,7.271907,-1.5239596,-1.8526479,0.8156695,6.6628356,-0.18341012,2.752578,1.9429835,-1.0,3.0410645,8.255572,-0.6368544,5.984848,8.016343,0.68402404,0.67887676,-0.5031255,2.2605822,7.6223655,2.0918782,3.6833506,-1.0,10.825602,-1.0,-2.4225497,-3.9314468,3.7692168,-1.0,2.0520213,5.6427636,4.5868254,3.7768443,-2.0053954,-0.9025154,1.2335247,10.344278
-0.70775586,-1.0,0.6943923,7.780201,4.5639358,-1.439232,1.7387055,0.5149429,1.1960824,5.5265045,4.2439365,-2.5837402,4.011463,1.2912855,3.2630594,-3.7678404,-0.07184408,0.5754191,7.1023674,3.4674811,2.5666487,1.9541763,-1.0,2.647009,8.418509,-1.452897,5.9667497,5.101515,-5.7332563,0.8527212,4.172785,2.954259,7.0029144,-3.5000226,3.7282205,-1.0,8.543574,-1.0,-1.3564482,-3.1696818,8.857289,-1.0,5.9273143,7.783561,2.999155,0.12084964,0.43955675,0.7722185,3.0463881,11.345745
-5.8800626,-1.0,-2.6109421,7.917419,3.5193598,-1.312745,2.5853121,2.7219458,2.3980622,6.1660733,2.6558127,-3.3097878,2.6109588,2.6221528,-2.277877,-4.52139,1.2187412,1.2001534,7.7432384,5.0860724,1.7949014,2.1020305,-1.0,6.6367,9.36705,-1.4637598,4.085475,2.0850406,-2.7963755,4.032483,7.3671303,1.8053703,6.21393,-4.988048,3.7731879,-1.0,8.544518,-1.0,0.4596432,-1.6755412,11.066704,-1.0,2.9616559,8.285199,1.1351393,-0.3460068,-2.4176562,0.95126706,3.1794186,10.260496
