0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
19.0,4.0,15.0,119.0,6.0,91.0,58.0,77.5,33.0,97.0,5.0,1.0,50.0,90.0,8.0,93.0,49.0,135.0,160.0,40.0,100.0,1.8321637,-1.0,-1.0,-1.0,-1.0,-1.0,11.835457,19.423092,6.4401116,5.0,14.444274,39.785686,3.928624,-1.0,2.0,-1.0,20.0,0.23783857,40.0,10.0,4.0,3.2054174,7.262707,3.9360285,14.143286,2.0,26.878601,1.8401062,109.0
19.019936,5.0565786,23.004135,129.7955,7.600359,89.975204,36.28798,77.5,34.26776,96.100845,5.4718423,1.0,52.259064,90.0,8.0,93.0,38.514297,129.72977,160.0,40.0,100.0,2.4149535,-1.0,-1.0,-1.0,-1.0,-1.0,25.229567,38.099915,7.783482,5.0,20.2032,58.68973,4.366592,-1.0,2.0,-1.0,20.0,0.5007243,40.0,10.0,4.0,4.617352,12.012461,4.845922,23.812572,2.0,44.33312,1.9338461,109.0
19.54115,5.889975,25.059864,122.61341,8.293306,99.65881,43.939835,77.5,35.316696,101.334656,5.6983604,1.0,52.126343,90.0,8.0,93.0,42.286938,151.52136,160.0,40.0,100.0,2.8945055,-1.0,-1.0,-1.0,-1.0,-1.0,31.53007,48.69773,11.4721985,5.0,28.276909,74.393295,4.267424,-1.0,2.0,-1.0,20.0,0.56115675,40.0,10.0,4.0,6.065307,15.739652,5.6062226,28.643118,2.0,69.152306,2.3558495,109.0
19.787422,6.2297106,23.289177,121.30224,8.529085,96.35686,50.36425,77.5,35.519333,105.55029,6.03718,1.0,52.434265,90.0,8.0,93.0,44.96553,144.08205,160.0,40.0,100.0,3.695006,-1.0,-1.0,-1.0,-1.0,-1.0,42.623096,61.80442,13.608697,5.0,35.364285,88.963394,4.686265,-1.0,2.0,-1.0,20.0,0.7514724,40.0,10.0,4.0,7.2588983,17.81732,6.111123,31.436207,2.0,87.67194,2.5254421,109.0
19.635166,6.163157,21.232328,122.0,8.210942,81.0,52.0,77.5,33.0,97.0,6.0909667,1.0,50.0,90.0,8.0,93.0,44.0,135.0,160.0,40.0,100.0,4.68412,-1.0,-1.0,-1.0,-1.0,-1.0,50.073975,76.2077,17.335001,5.0,38.8333,101.9,5.155488,-1.0,2.0,-1.0,20.0,0.9556109,40.0,10.0,4.0,8.442929,16.0415,6.701324,27.094036,2.0,112.41868,2.7246256,109.0
19.749119,5.2236466,22.85709,123.7208,8.124163,88.42678,58.471607,77.5,32.396797,98.19735,6.1183257,1.0,51.056652,90.0,8.0,93.0,53.492825,137.69191,160.0,40.0,100.0,5.461879,-1.0,-1.0,-1.0,-1.0,-1.0,60.905476,89.8146,21.18206,5.0,38.301956,104.85762,5.9816966,-1.0,2.0,-1.0,20.0,1.0196946,40.0,10.0,4.0,10.235077,14.605425,6.9673443,27.953592,2.0,125.985504,2.804636,109.0
19.737793,5.1291842,22.257273,116.0,8.063002,92.0,62.5,77.5,33.0,96.0,6.1055393,1.0,50.0,90.0,8.0,93.0,56.0,135.0,160.0,40.0,100.0,5.5203323,-1.0,-1.0,-1.0,-1.0,-1.0,61.51295,91.687386,21.793648,5.0,38.014942,104.65182,5.9672294,-1.0,2.0,-1.0,20.0,1.0172355,40.0,10.0,4.0,10.360538,14.212494,7.0531144,27.590979,2.0,128.67172,2.8140085,109.0
19.725021,5.119775,22.547005,122.69403,8.051849,91.848076,62.171097,77.5,33.002407,98.28148,6.08648,1.0,51.44511,90.0,8.0,93.0,53.870617,138.2803,160.0,40.0,100.0,5.6247935,-1.0,-1.0,-1.0,-1.0,-1.0,62.569134,94.00645,22.160604,5.0,37.739716,104.27653,5.9953413,-1.0,2.0,-1.0,20.0,1.0151948,40.0,10.0,4.0,10.473148,14.018219,7.106727,27.423222,2.0,130.87276,2.8161428,109.0
19.494476,4.980142,20.646147,118.0,7.7069197,99.0,70.0,77.5,33.0,96.0,5.784411,1.0,50.0,90.0,8.0,93.0,63.0,135.0,160.0,40.0,100.0,5.877634,-1.0,-1.0,-1.0,-1.0,-1.0,64.01101,97.45431,23.487358,5.0,38.028385,102.9478,6.084658,-1.0,2.0,-1.0,20.0,1.0130997,40.0,10.0,4.0,10.689967,13.669532,7.190692,27.675735,2.0,136.73576,2.8153894,109.67134
19.492847,4.9659534,18.960783,117.70787,7.571229,87.539406,65.23303,77.5,30.455364,96.72397,5.728522,1.0,49.350636,90.0,8.0,93.0,54.459476,136.15198,160.0,40.0,100.0,6.0863733,-1.0,-1.0,-1.0,-1.0,-1.0,66.17253,100.81052,24.371235,5.0,38.11124,101.62642,6.1817718,-1.0,2.0,-1.0,20.0,1.0107964,40.0,10.0,4.0,10.953738,13.304903,7.226671,27.532963,2.0,141.00476,2.813712,109.0
